brand,company,uretici,notlar,country,countryCode,countryEmoji,category,logo,companyLogo,mcapRank,employees,founded,website
ETi,ETi Bolu Çikolata,ETi Bolu Çikolata,,Türkiye,TR,🇹🇷,Gıda,,,,6000,1962,https://www.etiboluciko.com.tr
Torku,Konya Şeker,Konya Şeker,,Türkiye,TR,🇹🇷,Gıda,,,,,2010,https://www.torku.com.tr
Şölen,Şölen Çikolata,Şölen Çikolata,,Türkiye,TR,🇹🇷,Gıda,,,,3000,1989,https://www.solen.com.tr
Pınar,Yaşar Holding,Yaşar Holding,,Türkiye,TR,🇹🇷,Gıda,,,,5000,1976,https://www.pinar.com.tr
SEK,Yaşar Holding,Yaşar Holding,,Türkiye,TR,🇹🇷,Gıda,,,,,,
Dimes,Dimes,Dimes,,Türkiye,TR,🇹🇷,İçecek,,,,,1958,https://www.dimes.com.tr
Tat,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Gıda,,/logo/kocholding.svg,,,1967,https://www.tatgida.com.tr
Sütaş,Sütaş,Sütaş,,Türkiye,TR,🇹🇷,Gıda,,,,7000,1985,https://www.sutas.com.tr
İçim,Sütaş,Sütaş,,Türkiye,TR,🇹🇷,Gıda,,,,,,
Banvit,BRF SA,BRF SA,,Brezilya,BR,🇧🇷,Gıda,,,,,1968,https://www.banvit.com
Beypazarı,Beypazarı,Beypazarı,,Türkiye,TR,🇹🇷,İçecek,,,,,1904,https://www.beypazari.com.tr
Uludağ,Uludağ İçecek,Uludağ İçecek,,Türkiye,TR,🇹🇷,İçecek,,,,,1930,https://www.uludag.com.tr
Doğadan,Doğadan,Doğadan,,Türkiye,TR,🇹🇷,İçecek,,,,,1984,https://www.dogadan.com
Çaykur,Çaykur,Çaykur,,Türkiye,TR,🇹🇷,İçecek,,,,,1971,https://www.caykur.gov.tr
McDonald's,McDonald's Corp,McDonald's Corp,,Amerika,US,🇺🇸,Fast Food,/logo/mcdonalds.svg,,,2000000,1940,https://www.mcdonalds.com.tr
Burger King,Restaurant Brands International,Restaurant Brands International,,Amerika,US,🇺🇸,Fast Food,/logo/burgerking.svg,,,,1953,https://www.burgerking.com.tr
KFC,Yum! Brands,Yum! Brands,,Amerika,US,🇺🇸,Fast Food,,,,,1952,https://www.kfc.com
Domino's,Domino's Pizza,Domino's Pizza,,Amerika,US,🇺🇸,Fast Food,,,,,1960,https://www.dominos.com.tr
Subway,Subway,Subway,,Amerika,US,🇺🇸,Fast Food,,,,,1965,https://www.subway.com
Starbucks,Starbucks Corp,Starbucks Corp,,Amerika,US,🇺🇸,Kahve & Cafe,/logo/starbucks.svg,,,400000,1971,https://www.starbucks.com.tr
Kahve Dünyası,Kahve Dünyası,Kahve Dünyası,,Türkiye,TR,🇹🇷,Kahve & Cafe,,,,,2004,https://www.kahvedunyasi.com
Coca-Cola,The Coca-Cola Company,The Coca-Cola Company,,Amerika,US,🇺🇸,İçecek,/logo/cocacola.svg,,,,1886,https://www.coca-cola.com
Fanta,The Coca-Cola Company,The Coca-Cola Company,,Amerika,US,🇺🇸,İçecek,/logo/fanta.svg,/logo/cocacola.svg,,,,
Sprite,The Coca-Cola Company,The Coca-Cola Company,,Amerika,US,🇺🇸,İçecek,/logo/sprite.svg,/logo/cocacola.svg,,,,
Schweppes,The Coca-Cola Company,The Coca-Cola Company,,Amerika,US,🇺🇸,İçecek,/logo/schweppes.svg,/logo/cocacola.svg,,,,
Powerade,The Coca-Cola Company,The Coca-Cola Company,,Amerika,US,🇺🇸,İçecek,/logo/powerade.svg,/logo/cocacola.svg,,,,
BİM,BİM Birleşik Mağazalar,BİM Birleşik Mağazalar,,Türkiye,TR,🇹🇷,Süpermarket,,,,65000,1995,https://www.bim.com.tr
A101,A101 Yeni Mağazacılık,A101 Yeni Mağazacılık,,Türkiye,TR,🇹🇷,Süpermarket,,,,30000,2008,https://www.a101.com.tr
Migros,Migros Ticaret,Migros Ticaret,,Türkiye,TR,🇹🇷,Süpermarket,,,,25000,1954,https://www.migros.com.tr
CarrefourSA,Carrefour SA,Carrefour SA,,Fransa,FR,🇫🇷,Süpermarket,,,,,1993,https://www.carrefoursa.com
ŞOK,Yıldız Holding,Yıldız Holding,,Türkiye,TR,🇹🇷,Süpermarket,,,,30000,2011,https://www.sokmarket.com.tr
Teknosa,Sabancı Holding,Sabancı Holding,,Türkiye,TR,🇹🇷,Perakende,,/logo/sabanci.svg,,,2000,https://www.teknosa.com
MediaMarkt TR,MediaMarkt Saturn,MediaMarkt Saturn,,Almanya,DE,🇩🇪,Perakende,,,,,,https://www.mediamarkt.com.tr
IKEA,Inter IKEA Group,Inter IKEA Group,,İsveç,SE,🇸🇪,Ev & Yaşam,,,,220000,1943,https://www.ikea.com.tr
Gratis,Gratis,Gratis,,Türkiye,TR,🇹🇷,Kozmetik,,,,,2000,https://www.gratis.com
Watsons TR,A.S. Watson Group,A.S. Watson Group,,Hong Kong,HK,🇭🇰,Kozmetik,,,,,,https://www.watsons.com.tr
Ziraat Bankası,Türkiye Cumhuriyeti,Türkiye Cumhuriyeti,,Türkiye,TR,🇹🇷,Bankacılık,,,,30000,1863,https://www.ziraatbank.com.tr
Halkbank,Türkiye Cumhuriyeti,Türkiye Cumhuriyeti,,Türkiye,TR,🇹🇷,Bankacılık,,,,20000,1938,https://www.halkbank.com.tr
VakıfBank,Türkiye Cumhuriyeti,Türkiye Cumhuriyeti,,Türkiye,TR,🇹🇷,Bankacılık,,,,22000,1954,https://www.vakifbank.com.tr
İş Bankası,İş Bankası,İş Bankası,,Türkiye,TR,🇹🇷,Bankacılık,,,,25000,1924,https://www.isbank.com.tr
Garanti BBVA,BBVA,BBVA,,İspanya,ES,🇪🇸,Bankacılık,,,,18000,1946,https://www.garantibbva.com.tr
Akbank,Sabancı Holding,Sabancı Holding,,Türkiye,TR,🇹🇷,Bankacılık,,/logo/sabanci.svg,,14000,1948,https://www.akbank.com
Yapı Kredi,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Bankacılık,,/logo/kocholding.svg,,15000,1944,https://www.yapikredi.com.tr
Denizbank,Emirates NBD,Emirates NBD,,BAE,AE,🇦🇪,Bankacılık,,,,12000,1938,https://www.denizbank.com
QNB Finansbank,QNB Group,QNB Group,,Katar,QA,🇶🇦,Bankacılık,,,,10000,1987,https://www.qnbfinansbank.com
TEB,BNP Paribas,BNP Paribas,,Fransa,FR,🇫🇷,Bankacılık,,,,,1927,https://www.teb.com.tr
ING Bank TR,ING Group,ING Group,,Hollanda,NL,🇳🇱,Bankacılık,,,,,,https://www.ing.com.tr
TOGG,TOGG,TOGG,,Türkiye,TR,🇹🇷,Otomotiv,,,,3000,2018,https://www.togg.com.tr
Tofaş,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Otomotiv,,/logo/kocholding.svg,,14000,1968,https://www.tofas.com.tr
Ford Otosan,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Otomotiv,,/logo/kocholding.svg,,10000,1959,https://www.fordotosan.com.tr
Oyak Renault,OYAK,OYAK,,Türkiye,TR,🇹🇷,Otomotiv,,,,10000,1969,https://www.oyakrenault.com.tr
Temsa,Sabancı Holding,Sabancı Holding,,Türkiye,TR,🇹🇷,Otomotiv,,/logo/sabanci.svg,,4000,1968,https://www.temsa.com
BMW,BMW Group,BMW Group,,Almanya,DE,🇩🇪,Otomotiv,/logo/bmw.svg,,,,1916,https://www.bmw.com.tr
Mercedes-Benz,Mercedes-Benz Group,Mercedes-Benz Group,,Almanya,DE,🇩🇪,Otomotiv,/logo/mercedes.svg,,,,1926,https://www.mercedes-benz.com.tr
Toyota,Toyota Motor Corp,Toyota Motor Corp,,Japonya,JP,🇯🇵,Otomotiv,/logo/toyota.svg,,,,1937,https://www.toyota.com.tr
Honda,Honda Motor Co,Honda Motor Co,,Japonya,JP,🇯🇵,Otomotiv,/logo/honda.svg,,,,1948,https://www.honda.com.tr
Volkswagen,Volkswagen Group,Volkswagen Group,,Almanya,DE,🇩🇪,Otomotiv,/logo/volkswagen.svg,,,,1937,https://www.volkswagen.com.tr
Hyundai,Hyundai Motor Group,Hyundai Motor Group,,Güney Kore,KR,🇰🇷,Otomotiv,/logo/hyundai.svg,,,,1967,https://www.hyundai.com.tr
Audi,Volkswagen Group,Volkswagen Group,,Almanya,DE,🇩🇪,Otomotiv,/logo/audi.svg,/logo/volkswagen.svg,,,1909,https://www.audi.com.tr
Skoda,Volkswagen Group,Volkswagen Group,,Çekya,CZ,🇨🇿,Otomotiv,/logo/skoda.svg,/logo/volkswagen.svg,,,,
SEAT,Volkswagen Group,Volkswagen Group,,İspanya,ES,🇪🇸,Otomotiv,/logo/seat.svg,/logo/volkswagen.svg,,,,
Porsche,Volkswagen Group,Volkswagen Group,,Almanya,DE,🇩🇪,Otomotiv,/logo/porsche.svg,/logo/volkswagen.svg,,,1931,
Tesla,Tesla,Tesla,,Amerika,US,🇺🇸,Otomotiv,/logo/tesla.svg,,,,2003,https://www.tesla.com
Renault,Renault Group,Renault Group,,Fransa,FR,🇫🇷,Otomotiv,/logo/renault.svg,,,,1899,https://www.renault.com.tr
Trendyol,Alibaba Group,Alibaba Group,,Çin,CN,🇨🇳,E-Ticaret,,,,10000,2010,https://www.trendyol.com
Hepsiburada,Hepsiburada,Hepsiburada,,Türkiye,TR,🇹🇷,E-Ticaret,,,,6000,2000,https://www.hepsiburada.com
Getir,Getir,Getir,,Türkiye,TR,🇹🇷,E-Ticaret,,,,15000,2015,https://getir.com
Sahibinden,Sahibinden,Sahibinden,,Türkiye,TR,🇹🇷,İlan Platformu,,,,,1999,https://www.sahibinden.com
Yemeksepeti,Delivery Hero,Delivery Hero,,Almanya,DE,🇩🇪,Yemek Teslimatı,,,,,2000,https://www.yemeksepeti.com
n11,Doğuş Holding,Doğuş Holding,,Türkiye,TR,🇹🇷,E-Ticaret,,,,,2012,https://www.n11.com
Amazon,Amazon.com,Amazon.com,,Amerika,US,🇺🇸,E-Ticaret,/logo/amazon.svg,,,1500000,1994,https://www.amazon.com.tr
Google,Alphabet,Alphabet,,Amerika,US,🇺🇸,Teknoloji,/logo/google.svg,,,180000,1998,https://www.google.com
YouTube,Alphabet,Alphabet,,Amerika,US,🇺🇸,Dijital Medya,/logo/youtube.svg,/logo/google.svg,,,2005,
Instagram,Meta,Meta,,Amerika,US,🇺🇸,Sosyal Medya,/logo/instagram.svg,/logo/meta.svg,,,2010,
WhatsApp,Meta,Meta,,Amerika,US,🇺🇸,Mesajlaşma,/logo/whatsapp.svg,/logo/meta.svg,,,2009,
Meta,Meta Platforms,Meta Platforms,,Amerika,US,🇺🇸,Teknoloji,/logo/meta.svg,,,86000,2004,https://www.meta.com
TikTok,ByteDance,ByteDance,,Çin,CN,🇨🇳,Sosyal Medya,/logo/tiktok.svg,,,,2016,https://www.tiktok.com
Microsoft,Microsoft Corp,Microsoft Corp,,Amerika,US,🇺🇸,Teknoloji,/logo/microsoft.svg,,,220000,1975,https://www.microsoft.com
Netflix,Netflix,Netflix,,Amerika,US,🇺🇸,Dijital Medya,/logo/netflix.svg,,,13000,1997,https://www.netflix.com
Peak Games,Zynga,Zynga,"Türkiye merkezli oyun şirketi; 2020'de Zynga (ABD) tarafından 1,8 milyar dolara satın alınmıştır.",Amerika,US,🇺🇸,Oyun,,,,,2010,https://www.peakgames.net
Türk Hava Yolları,Türk Hava Yolları,Türk Hava Yolları,,Türkiye,TR,🇹🇷,Havacılık,/logo/thy.svg,,,75000,1933,https://www.turkishairlines.com
Pegasus,Esas Holding,Esas Holding,,Türkiye,TR,🇹🇷,Havacılık,,,,5000,1990,https://www.flypgs.com
AnadoluJet,Türk Hava Yolları,Türk Hava Yolları,,Türkiye,TR,🇹🇷,Havacılık,,/logo/thy.svg,,,2008,https://www.anadolujet.com
SunExpress,Türk Hava Yolları,Türk Hava Yolları,,Türkiye,TR,🇹🇷,Havacılık,,/logo/thy.svg,,,1989,https://www.sunexpress.com
Aygaz,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Enerji,,/logo/kocholding.svg,,4000,1961,https://www.aygaz.com.tr
Opet,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Enerji,/logo/opet.svg,/logo/kocholding.svg,,,1991,https://www.opet.com.tr
Shell TR,Shell,Shell,,İngiltere,GB,🇬🇧,Enerji,/logo/shell.svg,,,,,https://www.shell.com.tr
Enerjisa,Sabancı Holding,Sabancı Holding,,Türkiye,TR,🇹🇷,Enerji,,/logo/sabanci.svg,,,1996,https://www.enerjisa.com.tr
Tüpraş,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Enerji,/logo/tupras.svg,/logo/kocholding.svg,,5000,1983,https://www.tupras.com.tr
Petkim,SOCAR,SOCAR,Azerbaycan devlet enerji şirketi SOCAR'a aittir.,Azerbaycan,AZ,🇦🇿,Enerji,/logo/petkim.svg,,,,1965,https://www.petkim.com.tr
Eczacıbaşı,Eczacıbaşı Holding,Eczacıbaşı Holding,,Türkiye,TR,🇹🇷,Sağlık,/logo/eczacibasiholding.svg,,,12000,1942,https://www.eczacibasi.com.tr
Vitra,Eczacıbaşı Holding,Eczacıbaşı Holding,,Türkiye,TR,🇹🇷,Yapı & Tasarım,,/logo/eczacibasiholding.svg,,,,https://www.vitra.com.tr
Abdi İbrahim,Abdi İbrahim,Abdi İbrahim,,Türkiye,TR,🇹🇷,İlaç,,,,4000,1912,https://www.abdiibrahim.com.tr
Flormar,Yıldız Holding,Yıldız Holding,Yıldız Holding bünyesinde Türk kozmetik markası.,Türkiye,TR,🇹🇷,Kozmetik,,,,,,
Yurtiçi Kargo,CJ Logistics,CJ Logistics,Güney Koreli CJ Logistics şirketine aittir.,Güney Kore,KR,🇰🇷,Lojistik,,,,,1982,https://www.yurticikargo.com
Aras Kargo,Aras Holding,Aras Holding,,Türkiye,TR,🇹🇷,Lojistik,,,,,1979,https://www.araskargo.com.tr
MNG Kargo,MNG Holding,MNG Holding,,Türkiye,TR,🇹🇷,Lojistik,,,,,1999,https://www.mngkargo.com.tr
PTT,Türkiye Cumhuriyeti,Türkiye Cumhuriyeti,,Türkiye,TR,🇹🇷,Lojistik,,,,,1840,https://www.ptt.gov.tr
DHL TR,Deutsche Post DHL,Deutsche Post DHL,,Almanya,DE,🇩🇪,Lojistik,,,,,,https://www.dhl.com.tr
UPS TR,United Parcel Service,United Parcel Service,,Amerika,US,🇺🇸,Lojistik,,,,,,https://www.ups.com
Sabah,Kalyon Holding,Kalyon Holding,,Türkiye,TR,🇹🇷,Medya,,,,,1985,https://www.sabah.com.tr
Hürriyet,Demirören Holding,Demirören Holding,,Türkiye,TR,🇹🇷,Medya,,,,,1948,https://www.hurriyet.com.tr
Milliyet,Demirören Holding,Demirören Holding,,Türkiye,TR,🇹🇷,Medya,,,,,1950,https://www.milliyet.com.tr
CNN Türk,Demirören Holding,Demirören Holding,,Türkiye,TR,🇹🇷,Medya,,,,,,https://www.cnnturk.com
TRT,Türkiye Cumhuriyeti,Türkiye Cumhuriyeti,,Türkiye,TR,🇹🇷,Medya,,,,,1964,https://www.trt.net.tr
BluTV,BluTV,BluTV,,Türkiye,TR,🇹🇷,Dijital Medya,,,,,2016,https://www.blutv.com
Spotify,Spotify AB,Spotify AB,,İsveç,SE,🇸🇪,Dijital Medya,,,,9800,2006,https://www.spotify.com
Waze,Google (Alphabet),Google (Alphabet),"İsrail'de kurulmuş navigasyon uygulaması. 2013 yılında Google tarafından yaklaşık 1,1 milyar dolara satın alınmıştır. Merkezi Tel Aviv'dedir.",İsrail,IL,🇮🇱,Teknoloji,,,,,2006,https://www.waze.com
Check Point,Check Point Software Technologies,Check Point Software Technologies,İsrail merkezli siber güvenlik şirketi. Tel Aviv'de kurulmuştur; güvenlik duvarı ve ağ güvenliği alanında dünya lideri firmalardan biridir.,İsrail,IL,🇮🇱,Siber Güvenlik,,,,6000,1993,https://www.checkpoint.com
CyberArk,CyberArk Software,CyberArk Software,İsrail menşeli kimlik güvenliği şirketi. Tel Aviv'de kurulmuş olup ayrıcalıklı erişim yönetimi (PAM) alanında lider konumdadır.,İsrail,IL,🇮🇱,Siber Güvenlik,,,,8000,1999,https://www.cyberark.com
Mobileye,Intel,Intel,"İsrail'de kurulmuş sürücü destek sistemleri ve otonom sürüş teknolojileri şirketi. 2017'de Intel tarafından 15,3 milyar dolara satın alınmıştır.",İsrail,IL,🇮🇱,Teknoloji,,,,4000,1999,https://www.mobileye.com
Wix,Wix.com,Wix.com,Tel Aviv merkezli web sitesi oluşturma platformu. Dünyada 200 milyondan fazla kullanıcısı bulunmaktadır.,İsrail,IL,🇮🇱,Teknoloji,,,,6400,2006,https://www.wix.com
Monday.com,monday.com Ltd.,monday.com Ltd.,Tel Aviv merkezli proje yönetimi ve iş birliği platformu. NASDAQ'da işlem görmektedir.,İsrail,IL,🇮🇱,Teknoloji,,,,2000,2012,https://www.monday.com
Fiverr,Fiverr International,Fiverr International,Tel Aviv merkezli global freelance çalışma pazaryeri. NYSE'de işlem görmektedir.,İsrail,IL,🇮🇱,Teknoloji,,,,700,2010,https://www.fiverr.com
NICE Systems,NICE Ltd.,NICE Ltd.,"İsrail menşeli yazılım şirketi. Müşteri deneyimi, iletişim merkezi ve finansal uyumluluk yazılımları üretmektedir.",İsrail,IL,🇮🇱,Teknoloji,,,,8000,1986,https://www.nice.com
Amdocs,Amdocs,Amdocs,İsrail kökenli telekomünikasyon yazılımı ve hizmetleri şirketi. NASDAQ'da işlem görmektedir.,İsrail,IL,🇮🇱,Teknoloji,,,,30000,1982,https://www.amdocs.com
Keter,Keter Group,Keter Group,İsrail menşeli plastik ev ürünleri ve bahçe mobilyaları şirketi. Türkiye dahil 100'den fazla ülkede satış yapmaktadır.,İsrail,IL,🇮🇱,Ev & Yaşam,,,,5000,1948,https://www.keter.com
Given Imaging (PillCam),Medtronic,Medtronic,İsrail'de geliştirilmiş kapsül kamera teknolojisi (PillCam). 2014'te Medtronic tarafından satın alınmıştır.,İsrail,IL,🇮🇱,Tıbbi Teknoloji,,,,,1998,https://www.medtronic.com
Orbia (Mexichem),Orbia,Orbia,Orbia'nın Netafim birimi İsrail kökenlidir. Damla sulama sistemleri alanında İsrail'de 1965'te kurulmuştur.,İsrail,IL,🇮🇱,Kimya,,,,,,
Apple,Apple Inc.,Apple Inc.,,Amerika,US,🇺🇸,Elektronik,/logo/apple.svg,,,164000,1976,https://www.apple.com
iPhone,Apple Inc.,Apple Inc.,,Amerika,US,🇺🇸,Elektronik,,/logo/apple.svg,,,,
iPad,Apple Inc.,Apple Inc.,,Amerika,US,🇺🇸,Elektronik,,/logo/apple.svg,,,,
MacBook,Apple Inc.,Apple Inc.,,Amerika,US,🇺🇸,Elektronik,,/logo/apple.svg,,,,
Samsung,Samsung Group,Samsung Group,,Güney Kore,KR,🇰🇷,Elektronik,/logo/samsung.svg,,,270000,1938,https://www.samsung.com/tr
LG,LG Electronics,LG Electronics,,Güney Kore,KR,🇰🇷,Elektronik,/logo/lg.svg,,,74000,1958,https://www.lg.com/tr
Sony,Sony Group,Sony Group,,Japonya,JP,🇯🇵,Elektronik,/logo/sony.svg,,,108000,1946,https://www.sony.com.tr
Xiaomi,Xiaomi Corp.,Xiaomi Corp.,,Çin,CN,🇨🇳,Elektronik,/logo/xiaomi.svg,,,35000,2010,https://www.mi.com/tr
Huawei,Huawei,Huawei,,Çin,CN,🇨🇳,Elektronik,/logo/huawei.svg,,,207000,1987,https://www.huawei.com/tr
HP,HP Inc.,HP Inc.,,Amerika,US,🇺🇸,Elektronik,/logo/hp.svg,,,58000,1939,https://www.hp.com/tr-tr
Dell,Dell Technologies,Dell Technologies,,Amerika,US,🇺🇸,Elektronik,,,,120000,1984,https://www.dell.com/tr-tr
Lenovo,Lenovo Group,Lenovo Group,,Çin,CN,🇨🇳,Elektronik,/logo/lenovo.svg,,,77000,1984,https://www.lenovo.com/tr
Asus,ASUSTeK,ASUSTeK,,TW,TW,,Elektronik,/logo/asus.svg,,,,1989,https://www.asus.com/tr
Philips,Koninklijke Philips,Koninklijke Philips,,Hollanda,NL,🇳🇱,Elektronik,/logo/philips.svg,,,74000,1891,https://www.philips.com.tr
Panasonic,Panasonic Holdings,Panasonic Holdings,,Japonya,JP,🇯🇵,Elektronik,/logo/panasonic.svg,,,,1918,https://www.panasonic.com/tr
PlayStation,Sony Group,Sony Group,,Japonya,JP,🇯🇵,Oyun,,/logo/sony.svg,,,1994,https://www.playstation.com
Xbox,Microsoft Corp,Microsoft Corp,,Amerika,US,🇺🇸,Oyun,,/logo/microsoft.svg,,,2001,
Dyson,Dyson Ltd.,Dyson Ltd.,,İngiltere,GB,🇬🇧,Elektronik,,,,14000,1991,https://www.dyson.com.tr
Pepsi,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,İçecek,/logo/pepsi.svg,,,,1893,https://www.pepsi.com
7UP,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,İçecek,/logo/7up.svg,/logo/pepsi.svg,,,,
Mirinda,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,İçecek,,/logo/pepsi.svg,,,,
Lay's,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,Gıda,/logo/lays.svg,/logo/pepsi.svg,,,1932,
Doritos,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,Gıda,/logo/doritos.svg,/logo/pepsi.svg,,,,
Cheetos,PepsiCo,PepsiCo,,Amerika,US,🇺🇸,Gıda,,/logo/pepsi.svg,,,,
